DEBUG [2024-08-02 12:47:16,377] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:2024-08-02 오후 12:46:53; LastUsedView:Log; LogBranchFilterIndex:1; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:0; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:47:16,377] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:48:22,538] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:48:22,539] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:48:22,540] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:2024-08-02 오후 12:47:26; LastUsedView:FileStatus; LogBranchFilterIndex:1; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:48:22,553] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:48:35,204] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:48:35,222] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:48:35,223] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:2024-08-02 오후 12:47:26; LastUsedView:FileStatus; LogBranchFilterIndex:1; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:48:35,232] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:48:35,232] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:48:35,233] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:48:35,235] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:2024-08-02 오후 12:47:26; LastUsedView:Log; LogBranchFilterIndex:1; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:48:35,242] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:48:38,057] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:48:38,058] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:48:38,059] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:5; LastCheckedRemotes:2024-08-02 오후 12:48:38; LastUsedView:Log; LogBranchFilterIndex:1; OutgoingSavedCount:1; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:48:38,070] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:48:53,878] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:48:53,879] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:48:53,880] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:2024-08-02 오후 12:48:53; LastUsedView:Log; LogBranchFilterIndex:1; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:48:53,884] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:53:35,379] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:53:35,380] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
